company,count,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education,company_clean
Mentor Graphics,9,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,9
Fiserv,9,9,9,9,9,9,9,9,9,9,9,7,6,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,9
Ford,9,9,9,9,9,9,9,9,9,9,9,5,4,9,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9
Scribd,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,4,9
Babylon Health,9,9,9,9,9,9,9,9,9,9,9,5,6,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,9
Bolt,9,9,9,9,9,9,9,9,9,9,9,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,9
CDK Global,9,9,9,9,9,9,9,9,9,9,9,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,9
GE Healthcare,9,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,4,5,9
Mic,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,0,2,9
Relativity,9,9,9,9,9,9,9,9,9,9,9,6,4,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,9
Wipro,9,9,9,9,9,9,9,9,9,9,9,5,3,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,9
Wealthfront,9,9,9,9,9,9,9,9,9,9,9,3,7,9,9,9,9,9,9,9,9,9,9,9,9,9,3,4,9
Zocdoc,9,9,9,9,9,9,9,9,9,9,9,7,4,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9
Remitly,9,9,9,9,9,9,9,9,9,9,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9
S&P Global,9,9,9,9,9,9,9,9,9,9,9,5,7,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,9
BNP Paribas,9,9,9,9,9,9,9,9,9,9,9,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,9
Microchip Technology,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8
Traveloka,8,8,8,8,8,8,8,8,8,8,8,7,4,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,8
Kohl's,8,8,8,8,8,8,8,8,8,8,8,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,2,4,8
Olo,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,4,5,8
Societe Generale,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,5,6,8
Bolt (EU),8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8
Priceline,8,8,8,8,8,8,8,8,8,8,8,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,8
Global Payments,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8
JPMorgan,8,8,8,8,8,8,8,8,8,8,8,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,8
Faire,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,8
Internet Brands,8,8,8,8,8,8,8,8,8,8,8,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
TransUnion,8,8,8,8,8,8,8,8,8,8,8,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,2,5,8
Canonical,8,7,8,8,8,8,8,8,8,8,8,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8
PlayVS,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,8
L3Harris,8,8,8,8,8,8,8,8,8,8,8,7,4,8,8,8,8,8,8,8,8,8,8,8,8,8,4,3,8
Fujitsu,8,8,8,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8
Paylocity,8,8,8,8,8,8,8,8,8,8,8,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,8
Move,8,8,8,8,8,8,8,8,8,8,8,3,5,8,8,8,8,8,8,8,8,8,8,8,8,8,2,3,8
AIG,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,6,8
Match,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8
Pearson,8,8,8,8,8,8,8,8,8,8,8,3,7,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,8
salesforce,8,8,8,8,8,8,8,7,8,8,8,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,8
NICE,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,3,5,8
TikTok,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,8
Bloomberg LP,8,8,8,8,8,8,8,8,8,8,8,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,3,5,8
Cambia Health Solutions,8,8,8,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
AT Kearney,8,8,8,8,8,8,8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,4,6,8
Figma,8,8,8,8,8,8,8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,2,4,8
Fetch Rewards,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,8
Intercontinental Exchange,8,8,8,8,8,8,8,8,8,8,8,4,6,8,8,8,8,8,8,8,8,8,8,8,8,8,4,5,8
CloudKitchens,8,8,8,8,8,8,8,8,8,8,8,2,5,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,8
Interactive Brokers,8,8,8,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,2,4,8
Grofers,8,8,8,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,5,6,8
Ripple,8,8,8,8,8,8,8,8,8,8,8,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,8
Zappos,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,4,8
Clearwater Analytics,8,7,8,8,8,8,8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
Guidehouse,8,8,8,8,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,5,8
Disney Streaming Services,8,8,8,8,8,8,8,8,8,8,8,5,6,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
Amazon.com,8,8,8,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,5,6,8
American Family Insurance,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8
Apptio,8,8,8,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,8
IGT,8,8,8,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
Zscaler,8,8,8,8,8,8,8,8,8,8,8,4,6,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,8
Amobee,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,6,8
Equinix,8,8,8,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,8
Docusign,8,8,8,8,8,8,8,8,8,8,8,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,8
ResMed,8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,8
Ellie Mae,8,8,8,8,8,8,8,8,8,8,8,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
Swisscom,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,6,8
State Street,8,8,8,8,8,8,8,8,8,8,8,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,2,3,8
UnitedHealth Group,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,6,7,8
Upstart,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,7,8
Evernote,8,8,8,8,8,8,8,8,8,8,8,5,2,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,8
Eventbrite,8,8,8,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,3,5,8
Volkswagen,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8
Attentive,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,4,6,8
WP Engine,8,8,8,8,8,8,8,8,8,8,8,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,8
Nubank,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,5,6,8
TD bank,8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
goPuff,8,8,8,8,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,5,8
Expedia Group,8,8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
Xero,8,8,8,8,8,8,8,8,8,8,8,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,2,3,8
Dialpad,8,7,8,8,8,8,8,8,8,8,8,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,0,2,8
Discord,8,8,8,8,8,8,8,8,8,8,8,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,8
Overstock,8,8,8,8,8,8,8,8,8,8,8,5,6,8,8,8,8,8,8,8,8,8,8,8,8,8,2,3,8
Southwest Airlines,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,8
23andMe,7,7,7,7,7,7,7,7,7,7,7,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7
McKinsey & Company,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7
MUFG,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7
Office Depot,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7
Nintendo,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,7
Nuance Communications,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7
Lucid Software,7,7,7,7,7,7,7,7,7,7,7,5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7
Lumentum,7,7,7,7,7,7,7,7,7,7,7,4,3,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,7
LeanTaaS,7,6,7,7,7,7,7,7,7,7,7,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7
OpenTable,7,7,7,7,7,7,7,7,7,7,7,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7
Mitchell International,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7
PTC,7,6,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
Novetta,7,6,7,7,7,7,7,7,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,5,7
Motorola,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
Manhattan Associates,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
Merck,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,7
LEK,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,0,4,7
LendingTree,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7
Metromile,7,7,7,7,7,7,7,7,7,7,7,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7
Micron,7,7,7,7,7,7,7,7,7,7,7,3,0,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7
Parsons,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Trimble,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
CACI International,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
CBRE,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7
Verkada,7,7,7,7,7,7,7,7,7,7,7,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7
CIBC,7,7,7,7,7,7,7,7,7,7,7,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Under Armour,7,7,7,7,7,7,7,7,7,7,7,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,7
Ceridian,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7
U.S. Bank,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7
Chase,7,7,7,7,7,7,7,7,7,7,7,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,7
Cirrus Logic,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Citibank,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Clari,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
Travelers,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,7
Strategy by PwC,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
Toyota USA,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7
Tokopedia,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7
Conduent,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7
Contentful,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,7
Continental,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Course Hero,7,7,7,7,7,7,7,7,7,7,7,3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7
CoverMyMeds,7,7,7,7,7,7,7,6,7,7,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Degreed,7,5,7,7,7,7,7,7,7,7,7,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7
Deloitte Consulting LLP,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Domo,7,6,7,7,7,7,7,7,7,7,7,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7
Susquehanna International Group,7,6,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Vonage,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7
Blink Health,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7
Blackbaud,7,7,7,7,7,7,7,6,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7
Webflow,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7
2U,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
8x8,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,7
ABB,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
samsung,7,7,7,7,7,7,7,6,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
qualcomm,7,7,7,7,7,7,7,7,7,7,7,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Acorns,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,7
paypal,7,7,7,7,7,7,7,6,7,7,7,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,7
ActionIQ,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
ActiveCampaign,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
Activision,7,5,7,7,7,7,7,6,7,7,7,3,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7
Adevinta,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
Afterpay,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,7
iRobot,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
Align Technology,7,7,7,7,7,7,7,7,7,7,7,5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Amplitude,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Appier,7,5,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7
Zenefits,7,7,7,7,7,7,7,7,7,7,7,2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Zapier,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
Xendit,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
XPO Logistics,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Benchling,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
Bill.com,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7
Bird,7,7,7,7,7,7,7,7,7,7,7,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,7
Duolingo,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,7
Costco Wholesale,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Ebay,7,7,7,7,7,7,7,6,7,7,7,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Ivanti,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Fifth Third Bank,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Renesas Electronics,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,7
SiriusXM,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Silicon Labs,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
InVision,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
Segment,7,7,7,7,7,7,7,6,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,7
Seagate,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
Schneider Electric,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
Illumio,7,7,7,7,7,7,7,7,7,7,7,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7
Ibotta,7,6,7,7,7,7,7,7,7,7,7,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Sabre,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7
IXL Learning,7,6,7,7,7,7,7,7,7,7,7,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,7
GoCardless,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
IMC,7,7,7,7,7,7,7,7,7,7,7,2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7
Hopper,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7
Guardant Health,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,7
Guidewire,7,7,7,7,7,7,7,7,7,7,7,3,1,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,7
Qualia,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,7
Indigo,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,7
HelloFresh,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7
Epsilon,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7
Point72,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7
Jane Street Capital,7,6,7,7,7,7,7,7,7,7,7,6,0,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7
Epam,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,7
FLEXE,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7
KeepTruckin,7,7,7,7,7,7,7,7,7,7,7,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7
KAYAK,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7
Epic Games,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,7
udaan.com,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6
Workhuman,6,5,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6
Workiva,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6
Rappi,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,6
Other,6,6,6,6,6,6,6,6,6,6,6,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6
Pegasystems,6,6,6,6,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,6
NTT DATA,6,6,6,6,6,6,6,6,6,6,6,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6
startup,6,6,6,6,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6
linkedin,6,6,6,6,6,6,6,4,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,0,2,6
ZoomInfo,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6
sap,6,6,6,6,6,6,6,6,6,6,6,1,4,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,6
fuboTV,6,6,6,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6
Pegatron,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6
Perspecta,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6
Petuum,6,6,6,6,6,6,6,6,6,6,6,1,4,6,6,6,6,6,6,6,6,6,6,6,6,6,0,2,6
PagerDuty,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6
PhonePe,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,6
ZipRecruiter,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6
Mutual of Omaha,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6
Weedmaps,6,6,6,6,6,6,6,6,6,6,6,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6
Nylas,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6
One Medical,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,6
Toast,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6
SolarWinds,6,6,6,6,6,6,6,6,6,6,6,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6
Sonder,6,6,6,6,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6
Panasonic,6,6,6,6,6,6,6,6,6,6,6,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6
Ola,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6
Soroco,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6
Rescale,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6
